x,Curve1
0.286985,1.02383
0.295069,1.22076
0.299111,1.37266
0.307195,1.54346
0.319321,2.09375
0.327405,2.35428
0.339531,2.87373
0.351657,3.23132
0.359741,3.59104
0.363783,3.85283
0.367825,4.13371
0.371867,4.7584
0.388036,5.47749
0.400162,6.15907
0.404204,6.84472
0.412288,7.08983
0.432498,7.43035
0.464834,8.16124
0.464834,8.16124
0.489086,8.96403
0.489086,8.96403
0.489086,8.96403
0.517381,9.61753
0.517381,9.61753
0.553759,10.0795
0.553759,10.0795
0.553759,10.0795
0.590137,10.3187
0.590137,10.3187
0.622474,11.2015
0.622474,11.2015
0.622474,11.2015
0.65481,11.878
0.65481,11.878
0.687146,12.5954
0.687146,12.5954
0.687146,12.5954
0.723525,13.2003
0.723525,13.2003
0.759903,13.8343
0.759903,13.8343
0.759903,13.8343
0.792239,14.4988
0.792239,14.4988
0.828618,15.1952
0.828618,15.1952
0.828618,15.1952
0.856912,16.3029
0.889248,17.4915
0.921584,18.7666
0.953921,19.9
0.990299,19.668
1.02668,19.9
1.06306,20.6126
1.10348,21.1018
1.13985,20.8558
1.18027,21.1018
1.2207,21.3508
1.25707,21.8575
1.29749,22.3762
1.33387,22.9073
1.37025,23.1775
1.40663,24.5773
1.44705,25.4574
1.48343,26.369
1.51981,26.369
1.56023,26.0616
1.5966,24.5773
1.62894,23.1775
1.66936,22.9073
1.70978,22.3762
1.74616,21.6026
1.78658,21.1018
1.82296,20.8558
1.85934,20.6126
1.89976,20.3723
1.93614,19.9
1.97656,19.212
2.00889,18.1178
2.04931,17.4915
2.08569,16.8867
2.12207,16.6898
2.15845,16.8867
2.19887,16.8867
2.23929,17.0859
2.27971,17.0859
2.32013,17.2875
2.35651,17.4915
2.39693,17.2875
2.43331,17.2875
2.47373,17.4915
2.51415,17.4915
2.55457,17.2875
2.59499,17.2875
2.63137,17.0859
2.67179,17.0859
2.70816,16.6898
2.74859,16.8867
2.78901,16.8867
2.82943,16.8867
2.86985,16.8867
2.91027,16.8867
2.95069,16.6898
2.99111,16.6898
3.03153,16.4953
3.07195,16.3029
3.11237,16.3029
3.14875,15.7393
3.18513,15.3744
3.22555,15.018
3.26192,14.6698
3.30234,14.3297
3.33872,13.8343
3.3751,13.5136
3.41552,13.2003
3.4519,12.8943
3.49232,12.5954
3.53274,12.4485
3.56912,12.1599
3.60954,12.1599
3.64996,12.0182
3.69038,12.0182
3.7308,12.0182
3.77122,12.0182
3.81164,12.0182
3.85206,12.0182
3.89248,11.878
3.9329,11.878
3.97332,11.878
4.01374,11.7395
4.05012,11.6027
4.09054,11.3337
4.13096,11.2015
4.16734,10.8143
4.20776,10.5636
4.24414,10.0795
4.28052,9.73099
4.32094,9.39457
4.35732,8.96403
4.39369,8.55322
4.43411,8.25752
4.47049,7.97204
4.50687,7.69643
4.54729,7.43035
4.58771,7.34372
4.62409,7.17347
4.66047,7.00716
4.70089,6.84472
4.74131,6.76491
4.77769,6.60808
4.81811,6.53104
4.85853,6.45489
4.89491,6.30524
4.93533,6.23173
4.97575,6.15907
5.01213,6.01628
5.05255,5.94614
5.09297,5.80829
5.12935,5.74057
5.16977,5.60748
5.20614,5.47749
11.5,0.55
