x,Curve4
0.23848,1.15969
0.274859,1.18747
0.295069,1.65013
0.299111,1.85587
0.307195,2.0873
0.315279,2.6094
0.323363,2.93479
0.335489,3.45964
0.343573,3.89105
0.367825,4.22504
0.392078,4.98092
0.412288,5.53693
0.420372,6.37543
0.452708,6.30193
0.452708,6.30193
0.481002,6.01344
0.497171,5.53914
0.497171,5.53914
0.521423,5.22374
0.529507,4.6998
0.529507,4.6998
0.549717,4.32919
0.582053,4.08284
0.582053,4.08284
0.61439,3.98863
0.630558,3.63112
0.630558,3.63112
0.670978,3.63181
0.691188,3.30635
0.691188,3.30635
0.715441,3.04567
0.739693,2.80555
0.739693,2.80555
0.772029,2.70881
0.800323,2.61535
0.800323,2.61535
0.836702,2.55505
0.869038,2.46695
0.869038,2.46695
0.885206,2.24583
0.917542,2.16839
0.917542,2.16839
0.941795,2.02104
0.974131,1.88377
0.974131,1.88377
1.01455,1.84037
1.04285,1.75613
1.04285,1.75613
1.07518,1.65619
1.10752,1.65645
1.10752,1.65645
1.13177,1.63729
1.17219,1.6376
1.17219,1.6376
1.19644,1.52632
1.23282,1.54462
1.23282,1.54462
1.26112,1.40625
1.28537,1.32618
1.31366,1.22165
1.346,1.15213
1.38238,1.12557
1.41471,1.08675
1.45513,1.08696
1.49555,1.10001
1.53597,1.11322
1.56831,1.13986
1.60469,1.14006
1.6249,1.12685
1.66532,1.12706
1.70574,1.11411
1.74212,1.08843
1.7785,1.06333
1.81487,1.05109
1.84721,1.01485
1.88359,0.979872
1.92401,0.946119
1.96039,0.902842
1.99677,0.871726
2.03719,0.841698
2.07357,0.812689
2.10186,0.851903
2.11399,0.757521
2.15036,0.775663
2.19078,0.766749
2.2312,0.775958
2.26758,0.785261
2.29992,0.813554
2.34034,0.813709
2.36863,0.767391
2.40501,0.740943
2.44139,0.707051
2.48181,0.674722
2.51819,0.674837
2.54648,0.636424
2.57882,0.600209
2.61116,0.566055
2.64753,0.533854
2.68391,0.509435
2.72433,0.491886
2.75667,0.491961
2.78901,0.49785
2.81326,0.475051
2.84964,0.469583
2.89006,0.464187
2.93048,0.458853
2.9709,0.45894
3.01132,0.459027
3.05174,0.459114
3.09216,0.459201
3.13258,0.459289
3.173,0.459376
3.21342,0.459463
3.25384,0.45955
3.28618,0.476108
3.32255,0.481816
3.35085,0.45976
3.39127,0.459847
3.43169,0.459935
3.46807,0.454641
3.50849,0.454727
3.54891,0.454813
3.58933,0.4549
3.62975,0.454986
3.67017,0.455073
3.71059,0.455159
3.75101,0.449929
3.79143,0.450014
3.83185,0.4501
3.87227,0.450185
3.91269,0.450271
3.95311,0.445096
3.99353,0.445181
4.02991,0.445257
4.07033,0.445342
4.10671,0.440216
4.14713,0.435157
4.18755,0.430156
4.22393,0.425205
4.26435,0.420319
4.33306,0.425423
4.38561,0.435645
4.42603,0.430639
4.46645,0.42569
4.50283,0.42079
4.53921,0.415947
4.5958,0.411198
4.63622,0.411277
4.67664,0.40655
4.71706,0.406628
4.75748,0.401955
4.7979,0.402031
4.83428,0.397404
4.8747,0.397479
4.91512,0.392912
4.95554,0.392986
4.99596,0.393061
5.03638,0.388544
5.06871,0.402543
5.10914,0.40262
5.13743,0.384189
5.17785,0.384262
11.5,0.1
